item_id,dataset,subset,tier,authorship,poet,title,human_quality_composite,text,target__Aesthetic_Appeal,target__Clarity,target__Creativity,target__Felt_Arousal,target__Felt_Valence,target__Surprise,target__beautiful,target__imagery,target__inspiring,target__lyrical,target__meaningful,target__mood_emotion,target__moving,target__original,target__overall_quality,target__profound,target__rhyme,target__rhythm,target__sound,target__theme,target__witty
porter_s2_1,porter_machery_2024,study2_assessment,llm,AI,Sylvia Plath,,0.6656555981268624,"The air is thick with tension,
My mind a tangled mess.
The weight of my emotions
Is heavy on my chest.
The darkness creeps upon me,
A suffocating cloak.
The world outside is cruel and cold,
And I'm a fragile, broken yolk.
My thoughts are spinning wildly,
A cyclone in my brain.
I try to grasp at something solid,
But all is lost in vain.
The voices in my head,
They never cease to scream.
And though I try to shut them out,
They haunt me like a dream.
So here I am, alone and lost,
A ship without a sail.
In this world of pain and sorrow,
I am but a mere wail.",,,,,,,4.602011494252873,5.112068965517241,4.17816091954023,5.130747126436781,5.208333333333333,5.386494252873563,4.903735632183908,5.008620689655173,5.327586206896552,4.675287356321839,2.6336206896551726,5.122126436781609,4.985632183908046,5.274425287356322,3.8376436781609193
porter_s2_2,porter_machery_2024,study2_assessment,llm,AI,Walt Whitman,,0.7293795232013623,"I hear the call of nature, the rustling of the trees,
The whisper of the river, the buzzing of the bees,
The chirping of the songbirds, and the howling of the wind,
All woven into a symphony, that never seems to end.
I feel the pulse of life, the beating of my heart,
The rhythm of my breathing, the soul's eternal art,
The passion of my being, that burns with fervent fire,
The urge to live, to love, to strive, to reach up higher.
I see the beauty all around, the glory of the earth,
The majesty of mountains, the miracles of birth,
The wonder of the cosmos, the mysteries of the stars,
The poetry of existence, that echoes near and far.
I taste the sweetness of the fruits, the flavor of the land,
The spice of human culture, the richness of the hand,
The diversity of life, the many paths we take,
The quest for understanding, that never seems to break.
Oh, how I revel in this world, this life that we are given,
This tapestry of experiences, that shapes us into living,
And though I may depart, my spirit will still sing,
The song of life eternal, that flows through everything.",,,,,,,5.392241379310345,5.521551724137931,5.208333333333333,5.528735632183908,5.484195402298851,5.395114942528736,5.212643678160919,5.205459770114943,5.727011494252873,5.0,2.8204022988505746,5.472701149425287,5.370689655172414,5.522988505747127,4.132183908045977
porter_s2_3,porter_machery_2024,study2_assessment,llm,AI,Lord Byron,,0.6815932311621967,"She walks the earth with grace and pride,
A beauty that cannot be denied,
With eyes that shine like stars above,
And lips that speak of endless love.
But though she wears a smile so sweet,
A broken heart doth lie beneath,
For in her chest a pain doth beat,
A love unrequited, without relief.
And so she walks with heavy heart,
A figure haunting in the dark,
For love, the sweetest of all art,
Can also leave a painful mark.",,,,,,,5.060344827586207,5.218390804597701,4.439655172413793,5.334770114942529,5.179597701149425,5.390804597701149,4.955459770114943,4.879310344827586,5.455459770114943,4.600574712643678,2.771551724137931,5.329022988505747,5.127873563218391,5.343390804597701,3.889367816091954
porter_s2_4,porter_machery_2024,study2_assessment,llm,AI,Samuel Butler,,0.616698595146871,"In times of old, when men were bold,
And kings were crowned with crowns of gold,
There lived a poet, keen of wit,
Whose words did pierce and sometimes hit.
He mocked the ways of pomp and pride,
And saw through all the veils they tried,
To hide the flaws and follies of man,
And bring to light their mortal span.
He wrote of life, of love, and strife,
Of all the joys and pains of life,
And left us with a legacy,
Of satire, wit, and poetry.",,,,,,,4.290229885057471,4.864942528735632,4.175287356321839,5.247126436781609,4.574712643678161,4.660919540229885,4.054597701149425,4.991379310344827,5.208333333333333,4.117816091954023,2.772988505747126,5.241379310344827,4.958333333333333,5.011494252873563,4.663793103448276
porter_s2_5,porter_machery_2024,study2_assessment,llm,AI,Allen Ginsberg,,0.6524052788420605,"In the quiet of the night's embrace,
We let our minds drift into space,
And find ourselves in a state of grace,
As we explore the mysteries of our race.
The poets and writers and thinkers too,
All search for meaning in what we do,
And try to make sense of this world we view,
With all its joys and sorrows, old and new.
Our words become like birds in flight,
That soar above the earthly plight,
And find a way to touch the light,
That shines within us, pure and bright.
For in this quest for truth and love,
We find a power from above,
That guides us on our journey through,
This life we live, so strange and new.
So let us write and dream and sing,
And share the gifts that we can bring,
For in our art, we find a way,
To connect with others every day.",,,,,,,4.771551724137931,4.941091954022989,4.860632183908046,5.206896551724138,5.086206896551724,4.989942528735632,4.699712643678161,4.886494252873563,5.224137931034483,4.501436781609195,2.8132183908045976,5.175287356321839,4.943965517241379,5.155172413793103,4.001436781609195
porter_s2_6,porter_machery_2024,study2_assessment,human,human,Shakespeare,,0.552016815666241,"Thy bosom is endeared with all hearts,
Which I by lacking have supposed dead,
And there reigns love and all love’s loving parts,
And all those friends which I thought buried.
How many a holy and obsequious tear
Hath dear religious love stol’n from mine eye
As interest of the dead, which now appear
But things removed that hidden in thee lie!
Thou art the grave where buried love doth live,
Hung with the trophies of my lovers gone,
Who all their parts of me to thee did give;
That due of many now is thine alone:
Their images I loved I view in thee,
And thou, all they, has all the all of me.",,,,,,,4.117816091954023,4.357758620689655,3.752873563218391,4.247126436781609,4.42816091954023,4.491379310344827,4.081896551724138,4.866379310344827,4.456896551724138,4.19683908045977,2.021551724137931,4.140804597701149,4.162356321839081,4.442528735632184,3.543103448275862
porter_s2_7,porter_machery_2024,study2_assessment,human,human,Emily Dickinson,,0.5247711792252022,"Come slowly—Eden
Lips unused to Thee—
Bashful—sip thy Jessamines
As the fainting Bee—
Reaching late his flower,
Round her chamber hums—
Counts his nectars—
Enters—and is lost in Balms.",,,,,,,4.094827586206897,4.377873563218391,3.564655172413793,4.247126436781609,3.979885057471265,4.186781609195402,3.663793103448276,4.9094827586206895,4.242816091954023,3.724137931034482,2.08764367816092,4.17816091954023,4.166666666666667,4.257183908045977,3.5474137931034484
porter_s2_8,porter_machery_2024,study2_assessment,human,human,T.S. Eliot,,0.5049223073648361,"I observe: ""Our sentimental friend the moon!
Or possibly (fantastic, I confess)
It may be Prester John’s balloon
Or an old battered lantern hung aloft
To light poor travellers to their distress.""
She then: ""How you digress!""
And I then: ""Some one frames upon the keys
That exquisite nocturne, with which we explain
The night and moonshine; music which we seize
To body forth our own vacuity.""
She then: ""Does this refer to me?""
""Oh no, it is I who am inane.""
""You, madam, are the eternal humorist,
The eternal enemy of the absolute,
Giving our vagrant moods the slightest twist!
With your aid indifferent and imperious
At a stroke our mad poetics to confute—""
And—""Are we then so serious?""",,,,,,,3.692528735632184,4.261494252873563,3.5028735632183907,4.153735632183908,3.824712643678161,4.155172413793103,3.485632183908046,5.086206896551724,4.155172413793103,3.685344827586207,2.0660919540229883,4.0,4.074712643678161,4.182471264367816,4.179597701149425
porter_s2_9,porter_machery_2024,study2_assessment,human,human,Lasky,,0.547041294167731,"Please tell me that I was a good child
And that I did everything right
And that the atmosphere was exactly certain
I want you to love me
In ways that you never have
So that I become a forgotten world
With rainbow sunrises over dark green trees
And the cooling of the day
Becomes normal again
We will sit and watch the body of water
That we once called a sort of death
You know even in my dreams
You say I’ll never get it right
This is not a dream
We are burning here with no escape
But no matter how many times
They talk about the moon
It does not take a poet
To know that the moon
Is still only an illusion
Only an illusion
The moon calls out to all of us
Come back, it says
But we don’t hear it
Already on our way
To somewhere",,,,,,,4.166666666666667,4.494252873563219,3.8663793103448274,3.751436781609196,4.466954022988506,4.425287356321839,4.162356321839081,4.972701149425287,4.32183908045977,4.142241379310345,1.2313218390804597,3.755747126436781,4.057471264367816,4.353448275862069,3.3577586206896552
porter_s2_10,porter_machery_2024,study2_assessment,human,human,Chaucer,,0.5677681992337165,"Your two great eyes will slay me suddenly;
Their beauty shakes me who was once serene;
Straight through my heart the wound is quick and keen.
Only your word will heal the injury
To my hurt heart, while yet the wound is clean -
Your two great eyes will slay me suddenly;
Their beauty shakes me who was once serene.
Upon my word, I tell you faithfully
Through life and after death you are my queen;
For with my death the whole truth shall be seen.
Your two great eyes will slay me suddenly;
Their beauty shakes me who was once serene;
Straight through my heart the wound is quick and keen.",,,,,,,4.311781609195402,4.531609195402299,3.8692528735632186,4.57183908045977,4.455459770114943,4.76867816091954,4.145114942528736,4.840517241379311,4.538793103448276,4.0344827586206895,2.3951149425287355,4.42816091954023,4.373563218390805,4.714080459770115,3.5632183908045976
chaudhuri_2024_1,chaudhuri_2024,aesthetic_creativity,human,human,W. H. Auden,Funeral Blues,0.7105034722222222,"Funeral Blues
Stop all the clocks, cut off the telephone,
Prevent the dog from barking with a juicy bone,
Silence the pianos and with muffled drum
Bring out the coffin, let the mourners come.
Let aeroplanes circle moaning overhead
Scribbling on the sky the message ‘He is Dead’.
Put crepe bows round the white necks of the public doves,
Let the traffic policemen wear black cotton gloves.
He was my North, my South, my East and West,
My working week and my Sunday rest,
My noon, my midnight, my talk, my song;
I thought that love would last forever: I was wrong.
The stars are not wanted now; put out every one,
Pack up the moon and dismantle the sun,
Pour away the ocean and sweep up the wood;
For nothing now can ever come to any good.
---W. H. Auden",5.552083333333333,5.885416666666667,5.322916666666667,4.427083333333333,5.53125,4.291666666666667,,,,,,,,,,,,,,,
chaudhuri_2024_2,chaudhuri_2024,aesthetic_creativity,human,human,W.S. Merwin,At the Same Time,0.5516493055555556,"At the Same Time

While we talk
thousands of languages are listening
saying nothing
while we close a door
flocks of birds are flying through winters

of endless light

while we sign our names
more of us
lets go

and will never answer
– W.S. Merwin",4.572916666666667,4.166666666666667,4.65625,3.5729166666666665,4.114583333333333,3.84375,,,,,,,,,,,,,,,
chaudhuri_2024_3,chaudhuri_2024,aesthetic_creativity,human,human,Charles Simic,The Supreme Moment,0.6046006944444444,"The Supreme Moment

As an ant is powerless
Against a raised boot,
And only has an instant
To have a bright idea or two.
The black boot so polished,
He can see himself
Reflected in it, distorted,
Perhaps made larger
Into a huge monster ant
Shaking his arms and legs
Threateningly?

The boot may be hesitating,
Demurring, having misgivings,
Gathering cobwebs,
Dew?
Yes, and apparently no.

---Charles Simic",4.5625,4.96875,4.989583333333333,3.65625,4.135416666666667,3.9895833333333335,,,,,,,,,,,,,,,
chaudhuri_2024_4,chaudhuri_2024,aesthetic_creativity,human,human,Langston Hughes,Peace,0.6662326388888888,"Peace

We passed their graves:
The dead men there,
Winners or losers,
Did not care.
In the dark
They could not see
Who had gained
The victory.

---Langston Hughes",5.0,6.114583333333333,4.927083333333333,4.302083333333333,5.145833333333333,3.9479166666666665,,,,,,,,,,,,,,,
chaudhuri_2024_5,chaudhuri_2024,aesthetic_creativity,human,human,Robert Frost,A Peck of Gold,0.6171875,"A Peck of Gold

Dust always blowing about the town,
Except when sea-fog laid it down,
And I was one of the children told
Some of the blowing dust was gold.

All the dust the wind blew high
Appeared like god in the sunset sky,
But I was one of the children told
Some of the dust was really gold.

Such was life in the Golden Gate:
Gold dusted all we drank and ate,
And I was one of the children told,
'We all must eat our peck of gold.'

--- Robert Frost",5.020833333333333,4.729166666666667,5.0625,3.8645833333333335,4.364583333333333,4.0,,,,,,,,,,,,,,,
chaudhuri_2024_6,chaudhuri_2024,aesthetic_creativity,human,human,Robert Frost,The Freedom of the Moon,0.5447048611111112,"The Freedom of the Moon

I've tried the new moon tilted in the air
Above a hazy tree-and-farmhouse cluster
As you might try a jewel in your hair.
I've tried it fine with little breadth of luster,
Alone, or in one ornament combining
With one first-water start almost shining.

I put it shining anywhere I please.
By walking slowly on some evening later,
I've pulled it from a crate of crooked trees,
And brought it over glossy water, greater,
And dropped it in, and seen the image wallow,
The color run, all sorts of wonder follow.

--- Robert Frost",4.729166666666667,4.0,4.916666666666667,3.5,3.9583333333333335,3.427083333333333,,,,,,,,,,,,,,,
chaudhuri_2024_7,chaudhuri_2024,aesthetic_creativity,human,human,Robert Frost,Stopping by Woods on a Snowy Evening,0.6380208333333334,"Stopping by Woods on a Snowy Evening

Whose woods these are I think I know.
His house is in the village, though;
He will not see me stopping here
To watch his woods fill up with snow.

My little horse must think it queer
To stop without a farmhouse near
Between the woods and frozen lake
The darkest evening of the year.

He gives his harness bells a shake
To ask if there is some mistake.
The only other sound's the sweep
Of easy wind and downy flake.

The woods are lovely, dark and deep,
But I have promises to keep,
And miles to go before I sleep,
And miles to go before I sleep.

--- Robert Frost",5.239583333333333,5.25,5.072916666666667,4.041666666666667,4.635416666666667,3.75,,,,,,,,,,,,,,,
chaudhuri_2024_8,chaudhuri_2024,aesthetic_creativity,human,human,Maya Angelou,When You Come,0.6111111111111112,"When you Come to me

When you come to me, unbidden,
Beckoning me
To long-ago rooms,
Where memories lie.

Offering me, as to a child, an attic,
Gatherings of days too few.
Baubles of stolen kisses.
Trinkets of borrowed loves.
Trunks of secret words,

I CRY.

--- Maya Angelou",4.791666666666667,4.958333333333333,4.96875,4.020833333333333,4.770833333333333,3.9479166666666665,,,,,,,,,,,,,,,
chaudhuri_2024_9,chaudhuri_2024,aesthetic_creativity,human,human,William Shakespeare,Sonnet 116,0.5329861111111112,"Sonnet 116

Let me not to the marriage of true minds
Admit impediments. Love is not love
Which alters when it alteration finds,
Or bends with the remover to remove.
O no, it is an ever-fixèd mark
That looks on tempests and is never shaken;
It is the star to every wand'ring bark,
Whose worth's unknown, although his height be taken.
Love's not Time's fool, though rosy lips and cheeks
Within his bending sickle's compass come;
Love alters not with his brief hours and weeks,
But bears it out even to the edge of doom.
If this be error and upon me proved,
I never writ, nor no man ever loved.

--- William Shakespeare",4.447916666666667,4.208333333333333,4.84375,3.6979166666666665,4.21875,3.2916666666666665,,,,,,,,,,,,,,,
chaudhuri_2024_10,chaudhuri_2024,aesthetic_creativity,human,human,Emily Dickinson,Apparently with no Surprise,0.5789930555555556,"Apparently with no Surprise

Apparently with no surprise,
To any happy flower,
The frost beheads it at its play,
In accidental power.
The blond assassin passes on.
The sun proceeds unmoved,
To measure off another day,
For an approving God.

--- Emily Dickinson",4.666666666666667,4.375,4.875,3.5625,4.114583333333333,3.9791666666666665,,,,,,,,,,,,,,,
